"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C7","4","0.1 uF","","","","CL21B104KBCNNNC:CAPC2012X95N",""
"C2","1","1 uF","","","","GRM21BR71C105KA01L:CAPC2012X135N",""
"C5","1","10 uF","","","","CL21B106KOQNNNE:CAPC2012X140N",""
"C6","1","2.2uF","","","","GRM21BR71A225KA01L:CAPC2012X135N",""
"C8","1","2.2 uF","","","","GRM21BR71A225KA01L:CAPC2012X135N",""
"C9,C10,C11","3","0.1uF","","","","CL21B104KBCNNNC:CAPC2012X95N",""
"IC?","1","STM32F205RET7","","","","QFP50P1200X1200X160-64N","https://www.st.com/resource/en/datasheet/stm32f205rb.pdf"
"R1,R2","2","10k","","","","WK73R2ATTD103J:RESC1220X65N",""
"SW?","1","CK_KMS2xxG","","","","Button_Switch_SMD:SW_SPST_CK_KMS2xxGP","https://www.ckswitches.com/media/1482/kms.pdf"
